p_id,product_name,price,img,link,Specification,Star,5_star,4_star,3_star,2_star,1_star
flipkart0,"Motorola Edge 50 Pro 5G with 68W Charger (Black Beauty, 256 GB) (8 GB RAM)","31,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/e/i/v/-original-imagzhspm6zvfaeh.jpeg?q=70&crop=false,https://www.flipkart.com/motorola-edge-50-pro-5g-68w-charger-black-beauty-256-gb/p/itmb3f6625c5c896?pid=MOBGXFXYDG8YRZU4&lid=LSTMOBGXFXYDG8YRZU4SAX9WW&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGXFXYDG8YRZU4.SEARCH&ppt=sp&ppn=sp&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Display', '50MP + 13MP + 10MP | 50MP Front Camera', '4500 mAh Battery', '7 Gen 3 Mobile Platform Processor']",4.4,"10,463","3,339",771,324,979
flipkart2,"vivo T2 Pro 5G (Dune Gold, 256 GB) (8 GB RAM)","23,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/5/y/8/-original-imagtt4mhqrzjs9r.jpeg?q=70&crop=false,https://www.flipkart.com/vivo-t2-pro-5g-dune-gold-256-gb/p/itm1230688cdef18?pid=MOBGT4RZUPKD8HDK&lid=LSTMOBGT4RZUPKD8HDK4QMUBF&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGT4RZUPKD8HDK.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '64MP + 2MP | 16MP Front Camera', '4600 mAh Battery', 'Dimensity 7200 Processor']",4.5,"71,153","19,833","4,925","1,868","4,144"
flipkart3,"vivo T2 Pro 5G (New Moon Black, 128 GB) (8 GB RAM)","22,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/g/b/x/-original-imagtt4h4ptmxgwn.jpeg?q=70&crop=false,https://www.flipkart.com/vivo-t2-pro-5g-new-moon-black-128-gb/p/itm1230688cdef18?pid=MOBGT4RZRRET8QQS&lid=LSTMOBGT4RZRRET8QQSIULEMX&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGT4RZRRET8QQS.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['8 GB RAM | 128 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '64MP + 2MP | 16MP Front Camera', '4600 mAh Battery', 'Dimensity 7200 Processor']",4.5,"71,153","19,833","4,925","1,868","4,144"
flipkart6,"Motorola Edge 50 Pro 5G with 125W Charger (Moonlight Pearl, 256 GB) (12 GB RAM)","35,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/y/a/d/-original-imagzhspdmx4egff.jpeg?q=70&crop=false,https://www.flipkart.com/motorola-edge-50-pro-5g-125w-charger-moonlight-pearl-256-gb/p/itm58844545548bd?pid=MOBGXFXYK3GVSARU&lid=LSTMOBGXFXYK3GVSARULH9LJF&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGXFXYK3GVSARU.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Display', '50MP + 13MP + 10MP | 50MP Front Camera', '4500 mAh Battery', '7 Gen 3 Mobile Platform Processor']",4.4,"3,786","1,005",243,111,435
flipkart7,"realme 12 Pro 5G (Navigator Beige, 256 GB) (8 GB RAM)","26,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/m/p/y/12-pro-5g-rmx3842-realme-original-imagxgnhafyjz8rb.jpeg?q=70&crop=false,https://www.flipkart.com/realme-12-pro-5g-navigator-beige-256-gb/p/itmcc78f150eeabd?pid=MOBGWH8SSGEEZRDA&lid=LSTMOBGWH8SSGEEZRDAM6ZCMA&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGWH8SSGEEZRDA.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 6 Gen 1 Processor']",4.4,"11,696","3,896",905,370,837
flipkart9,"Nothing Phone (2a) 5G (White, 256 GB) (12 GB RAM)","27,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/q/y/m/-original-imagz7f9hzrahd2z.jpeg?q=70&crop=false,https://www.flipkart.com/nothing-phone-2a-5g-white-256-gb/p/itm85c6bca5edadc?pid=MOBGVMQS98EEEKTZ&lid=LSTMOBGVMQS98EEEKTZGRWCDA&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGVMQS98EEEKTZ.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP (OIS) + 50MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7200 Pro Processor']",4.4,"3,311",936,230,92,268
flipkart11,"Nothing Phone (2a) 5G (White, 256 GB) (8 GB RAM)","25,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/q/y/m/-original-imagz7f9hzrahd2z.jpeg?q=70&crop=false,https://www.flipkart.com/nothing-phone-2a-5g-white-256-gb/p/itm85c6bca5edadc?pid=MOBGVMQS9NC2DH2P&lid=LSTMOBGVMQS9NC2DH2PC9VIBX&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGVMQS9NC2DH2P.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP (OIS) + 50MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7200 Pro Processor']",4.4,"22,682","7,370","1,727",710,"1,700"
flipkart15,"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 128 GB) (8 GB RAM)","29,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/d/o/c/-original-imagtnqjmfqxxbj2.jpeg?q=70&crop=false,https://www.flipkart.com/samsung-galaxy-s21-fe-5g-snapdragon-888-graphite-128-gb/p/itm5a614a9761bc7?pid=MOBGTKQGXJDVF95N&lid=LSTMOBGTKQGXJDVF95NQOMKIW&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGTKQGXJDVF95N.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['8 GB RAM | 128 GB ROM', '16.26 cm (6.4 inch) Full HD+ Display', '12MP + 12MP + 8MP (OIS) | 32MP Front Camera', '4500 mAh Lithium-ion Battery', 'Snapdragon 888 Processor']",4.3,"89,154","31,630","8,325","3,113","10,333"
flipkart16,"OnePlus Nord 3 5G (Tempest Gray, 128 GB) (8 GB RAM)","21,330",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/a/y/i/nord-3-5g-cph2491-oneplus-original-imagrk2vbpbegxmy.jpeg?q=70&crop=false,https://www.flipkart.com/oneplus-nord-3-5g-tempest-gray-128-gb/p/itm5fc87afce35dc?pid=MOBGRK2VXCKBADB5&lid=LSTMOBGRK2VXCKBADB5VGHDAK&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGRK2VXCKBADB5.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['8 GB RAM | 128 GB ROM', '17.12 cm (6.74 inch) Full HD+ Display', '50MP Rear Camera', '5000 mAh Battery']",4.3,"5,994","2,174",624,254,603
flipkart17,"OnePlus Nord 3 5G (Misty Green, 128 GB) (8 GB RAM)","21,103",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/m/c/e/nord-3-5g-cph2491-oneplus-original-imagrk2z92qpqgfd.jpeg?q=70&crop=false,https://www.flipkart.com/oneplus-nord-3-5g-misty-green-128-gb/p/itm5fc87afce35dc?pid=MOBGRKA2GBGGS6QZ&lid=LSTMOBGRKA2GBGGS6QZNRLDDG&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGRKA2GBGGS6QZ.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['8 GB RAM | 128 GB ROM', '17.12 cm (6.74 inch) Display', '50MP Rear Camera', '5000 mAh Battery']",4.3,"5,994","2,174",624,254,603
flipkart18,"POCO X6 Pro 5G (Racing Grey, 512 GB) (12 GB RAM)","25,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/q/z/q/-original-imagwzrjvypwnjzr.jpeg?q=70&crop=false,https://www.flipkart.com/poco-x6-pro-5g-racing-grey-512-gb/p/itm7134f12949dc7?pid=MOBGWMGBF7F5KBV2&lid=LSTMOBGWMGBF7F5KBV2ZUV5H2&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGWMGBF7F5KBV2.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['12 GB RAM | 512 GB ROM', '16.94 cm (6.67 inch) Display', '64MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Dimensity D8300 Ultra Processor']",4.3,"4,740","1,504",463,170,605
flipkart21,"Infinix GT 20 Pro (Mecha Blue, 256 GB) (12 GB RAM)","25,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/q/p/x/-original-imahf38d4cwmuqep.jpeg?q=70&crop=false,https://www.flipkart.com/infinix-gt-20-pro-mecha-blue-256-gb/p/itm65a37452b3cc8?pid=MOBHYP4XSAXZEHDC&lid=LSTMOBHYP4XSAXZEHDC14QY8G&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBHYP4XSAXZEHDC.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '108MP (OIS) + 2MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 8200 Ultimate Processor']",4.3,778,190,60,34,90
flipkart23,"OnePlus Nord CE4 (Dark Chrome, 256 GB) (8 GB RAM)","26,798",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/1/y/k/nord-ce4-cph2613-oneplus-original-imagzndegwfrwung.jpeg?q=70&crop=false,https://www.flipkart.com/oneplus-nord-ce4-dark-chrome-256-gb/p/itm5a09089114afb?pid=MOBGZZJHPCGUQWVM&lid=LSTMOBGZZJHPCGUQWVME1XZC9&marketplace=FLIPKART&q=mobiles+20000+to+40000&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&iid=dbd5712f-122a-41c5-95aa-b07cd7c7ce58.MOBGZZJHPCGUQWVM.SEARCH&ssid=5yxa57yv9c0000001719926442585&qH=810ef4aceddf9c4f,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Display', '50MP Rear Camera', '5500 mAh Battery', 'OxygenOS 14.0 Processor']",4.4,"5,028","1,596",360,142,346
